"-OR-","-TAI-"
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Ask Customer","Kysy asiakkaalta"
"Attempted Authentication, Bad Result","Varmennusyritys epäonnistui"
"Attempted Authentication, Good Result","Varmennusyritys onnistui"
"Auction Payment other than through eBay","Muu huutokauppamaksu kuin eBay"
"Authenticated, Bad Result","Varmennuksen tulos on huono"
"Authenticated, Good Result","Varmennuksen tulos on hyvä"
"Authorization","Varmistus"
"authorization","varmistus"
"Authorization Honor Period (days)","Authorization Honor Period (days)"
"Authorization transaction is required to void.","Authorization transaction is required to void."
"Authorized amount of %s.","Varmennettu summa on %s."
"Authorizing amount of %s is pending approval on gateway.","Varmennettava summa %s odottaa hyväksyntää maksuyhteydessä."
"Auto","Automaattisesti"
"AutoSweep","AutoSweep"
"Available Balance","Käytössä oleva saldo"
"Balance Manager Account Bonus","Balance Manager Account Bonus"
"Basic Settings - PayPal Express Checkout","Perusasetukset - PayPal Express Checkout"
"Basic Settings - PayPal Integral Evolution","Perusasetukset - PayPal Integral Evolution"
"Basic Settings - PayPal Pasarela integral","Perusasetukset - PayPal Pasarela integral"
"Basic Settings - PayPal Payflow Link","Perusasetukset - PayPal Payflow Link"
"Basic Settings - PayPal Payflow Pro","Perusasetukset - PayPal Payflow Pro"
"Basic Settings - PayPal Payments Advanced","Perusasetukset - PayPal Payments Advanced"
"Basic Settings - PayPal Payments Pro","Perusasetukset - PayPal Payments Pro"
"Basic Settings - PayPal Payments Pro Hosted Solution","Perusasetukset - PayPal Payments Pro Hosted Solution"
"Basic Settings - PayPal Payments Standard","Perusasetukset - PayPal Payments Standard"
"Basic Settings - PayPal Pro","Perusasetukset - PayPal Pro"
"Basic Settings - PayPal Website Payments Plus","Perusasetukset - PayPal Website Payments Plus"
"Basic Settings - PayPal Website Payments Pro","Perusasetukset - PayPal Website Payments Pro"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Perusasetukset - PayPal Website Payments Pro Hosted Solution"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","Perusasetukset - PayPal Website Payments Pro Payflow Edition"
"Basic Settings - PayPal Website Payments Standard","Perusasetukset - PayPal Website Payments Standard"
"Billing Address","Maksuosoite"
"Billing Agreement Signup","Maksusopimuksen tekeminen"
"Bonus for first ACH Use","Bonus ensimmäisestä ACH-palvelun käytöstä."
"Both section above must be complete. ","Kummatkin ylläolevat kohdat täytyy täyttää. "
"Buyer Credit Payment","Asiakkaan luottomaksu"
"Buyer claims that a possible duplicate payment was made to the merchant.","Asiakas ilmoittaa että maksu on tapahtunut useamman kerran."
"Buyer claims that he did not receive goods or service.","Asiakas ilmoittaa ettei ole vastaanottanut tuotteita tai palvelua."
"Buyer claims that he/she did not authorize transaction.","Asiakas ilmoittaa ettei hän ole vahvistanut maksutapahtumaa."
"Buyer claims that the goods or service received differ from merchant's description of the goods or service.","Asiakas ilmoitaa että tuotteet tai palvelu ei vastannut kauppiaan kuvausta tuotteista tai palvelusta."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Buyer claims that the received merchandise is unsatisfactory, defective, or damaged."
"Buyer's Tax ID","Asiakkaan alv-numero WK?"
"Buyer's Tax ID Type","Asiakkaan y-tunnuksen tyyppi WK?"
"By default it is ""reports.paypal.com"".","Oletus on ""reports.paypal.com""."
"By default it is ""/ppreports/outgoing"".","Oletus on ""/ppreports/outgoing""."
"CNPJ","CNPJ"
"CPF","CPF"
"CVV Entry is Editable","CVV Entry is Editable"
"CVV2 Check Result by PayPal","CVV2 Check Result by PayPal"
"Can not send new order email.","Uuden tilauksen sähköpostia ei voi lähettää."
"Cannot create target file for reading reports.","Raportteja varten ei voi lisätä kohdetiedostoa."
"Centinel API URL","Centinel-API URL-osoite"
"Centinel Custom API URL","Centinel Custom API URL"
"Charge-off","Charge-off"
"Chargeback","Takaisinmaksu"
"Chargeback by customer.","Asiakas suorittaa takaisinmaksun. WK?"
"Checkout with PayPal","Maksa PayPal -palvelulla"
"Choose a secure bundled payment solution for your business.","Choose a secure bundled payment solution for your business."
"City","Postitoimipaikka"
"Click here if you are not redirected within 10 seconds...","Paina tästä ellei uudelleenohjaus tapahdu 10 sekunnissa..."
"Close","Sulje"
"Company","Yritys"
"Complaint","Valitus"
"Completion Date","Completion Date"
"Configure","Muokkaa"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Yhdistä kauppiastilisi täydellisesti muokattavan maksuyhteyden kautta, ilman että asiakkaan tarvitsee maksaessaan poistua verkkokaupastasi."
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Yhdistää ja noutaa raportit PayPal SFTP -palvelimelta. Haluatko jatkaa? "
"Continue","Jatka"
"Countries Payment Applicable From","Maksu sallitaan maista"
"Country","Maa"
"Coupon Redemption","Kupongin lunastaminen WK?"
"Credit","Luotto"
"Credit Card Settings","Luottokortin asetukset"
"Currency Conversion required to cover negative balance","Negatiivisen saldon kattamiseksi vaaditaan valuuttamuunnos."
"Custom","Muokattu"
"Custom Endpoint Hostname or IP-Address","Custom Endpoint Hostname or IP-Address"
"Custom Path","Muokattu polku"
"Customer Information","Asiakastiedot"
"Customer complaint.","Asiakaspalaute."
"Customer did not include a confirmed address.","Asiakas ei antanut vahvistettua osoitetta."
"Customer triggered a money-back guarantee.","Asiakas valitsi rahat takaisin -takuun."
"Daily","Päivittäin"
"Debit","Debit"
"Debit Card Cash Back","Debit-korttimaksun palautus"
"Debit Card Transaction","Debit-kortti maksutapahtuma "
"Debit or Credit","Debit tai luotto"
"Debug Mode","Virheiden haku (debug)"
"Direct Payment API","Suora maksu API"
"Discount","Alennus"
"Display Express Checkout in the Payment Information step","Näyttää Express-maksutapahtuman maksutiedot -kohdassa"
"Displays on catalog pages and homepage.","Näytetään luettelosivuilla ja kotisivulla."
"Dispute","Dispute"
"Don't have a PayPal account? Simply enter your email address.","Eikö sinulla ole omaa PayPal-maksutiliä? Tilin saa antamalla sähköpostiosoitteen."
"Dynamic","Muuttuva"
"EFT Funding (German banking)","EFT rahoitus (Saksan pankit)"
"Edit Shopping Cart","Muokkaa ostoskoria"
"Email Address","Sähköpostiosoite"
"Email Associated with PayPal Merchant Account","PayPal-kauppiaan tiliin liitetty sähköpostiosoite"
"Email Associated with PayPal Merchant Account (Optional)","PayPal-kauppiaan tiliin yhdistetty sähköposti (valinnainen)"
"Enable Automatic Fetching","Ota käyttöön automaattinen nouto"
"Enable Express Checkout","Ota käyttöön Express -maksaminen"
"Enable PayPal Guest Checkout","Ota käyttöön PayPal rekisteröitymätön -maksaminen"
"Enable Payflow Link","Ota käyttöön Payflow Link"
"Enable SSL verification","Ota käyttöön SSL-varmennus"
"Enable this Solution","Ota käyttöön tämä ratkaisu"
"Enabled","Käytössä"
"Event","Tapahtuma"
"Event Code","Tapahtuman koodi"
"Every 10 days","Joka 10. päivä"
"Every 14 days","Joka 14. päivä"
"Every 3 days","Joka 3. päivä"
"Every 30 days","Joka 30. päivä"
"Every 40 days","Joka 40. päivä"
"Every 7 days","Joka 7. päivä"
"Exact Match. Address and Postal Code. International","Tarkka vastaavuus. Osoite ja postinumero. Kansainvälinen"
"Exact Match. Address and Postal Code. UK-specific","Tarkka vastaavuus. Osoite ja postinumero. Iso-Britannia"
"Exact Match. Address and nine-digit ZIP code","Tarkka vastaavuus. Osoite ja 9-numeroinen postinumero"
"Express Checkout","PayPal Express -maksaminen"
"Express Checkout APIs","Express -maksamisen API:t"
"Express Checkout and Order have been canceled.","PayPal Express -maksu ja tilaus peruttu."
"Express Checkout has been canceled.","PayPal Express-maksu on peruttu."
"Failed to fetch reports from '%s@%s'.","Raporttien hakeminen kohteesta '%s@%s' epäonnistui."
"Fax","Faksi"
"Fee Amount","Fee Amount"
"Fee Debit or Credit","Fee Debit or Credit"
"Fee Reversal","Fee Reversal"
"Fee: Foreign ACH Withdrawal","Fee: Foreign ACH Withdrawal"
"Fee: Mass Pay Request","Fee: Mass Pay Request"
"Fee: Web Site Payments Pro Account Monthly","Fee: Web Site Payments Pro Account Monthly"
"Fee: WorldLink Check Withdrawal","Fee: WorldLink Check Withdrawal"
"Fetch","Nouda"
"Fetch Updates","Nouda päivitykset"
"Fetched %s report rows from '%s@%s'.","%s raporttiriviä on noudettu kohteesta '%s@%s'."
"For Virtual Quotes Only","For Virtual Quotes Only"
"Frontend Experience Settings","Kaupan puolen näkymäasetukset"
"Funding","Rahoitus"
"General (Authorization)","Yleinen (Varmennus) WK?"
"General (Dividend)","General (Dividend)"
"General (Funds Transfer from PayPal Account to Another)","Yleinen (Varojen siirto PayPal-tililtä toiselle)"
"General (Purchase with a credit card)","Yleinen (Luottokorttiosto)"
"General Adjustment without businessrelated event","General Adjustment without businessrelated event"
"General Currency Conversion","Yleinen valuutanmuunnos"
"General Funding of PayPal Account ","General Funding of PayPal Account "
"General Redemption","General Redemption"
"General Withdrawal from PayPal Account","Yleinen nosto PayPal-tililtä"
"General. Product no longer supported","Yleinen. Tuotetta ei enää tueta."
"General: Use of PayPal account for purchasing as well as receiving payments","Yleinen: PayPal-tilin käyttäminen ostamiseen ja maksujen vastaanottamiseen"
"General: Withdrawal from PayPal Account","Yleinen: nosto PayPal-tililtä"
"General: Withdrawal to Non-Bank Entity","General: Withdrawal to Non-Bank Entity"
"General: adjustment of a type not belonging to the other T12xx categories","General: adjustment of a type not belonging to the other T12xx categories"
"General: bonus of a type not belonging to the other T08xx categories","General: bonus of a type not belonging to the other T08xx categories"
"General: event not yet categorized","Yleinen: tapahtumaa ei ole vielä luokiteltu"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: non-payment fee of a type not belonging to the other T01xx categories"
"General: received payment of a type not belonging to the other T00xx categories","General: received payment of a type not belonging to the other T00xx categories"
"General: reversal of a type not belonging to the other T11xx categories","General: reversal of a type not belonging to the other T11xx categories"
"General: temporary hold of a type not belonging to the other T15xx categories","General: temporary hold of a type not belonging to the other T15xx categories"
"Get Credentials from PayPal","Nouda tunnistetiedot PayPal:sta"
"Gift Certificate Payment: purchase of Gift Certificate","Gift Certificate Payment: purchase of Gift Certificate"
"Gift Certificate Redemption","Gift Certificate Redemption"
"Gross Amount","Gross Amount"
"Header Background Color","Ylätunnisteen taustaväri"
"Header Border Color","Ylätunnisteen reunojen väri"
"Header Image URL","Ylätunnisteen kuvan URL-osoite"
"Help","Ohje"
"Hidden Virtual PayPal Debit Card Transaction","Hidden Virtual PayPal Debit Card Transaction"
"Hold for Dispute Investigation","Hold for Dispute Investigation"
"IPN ""%s"".","IPN ""%s""."
"IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s""","IPN ""%s"". %s Maksutapahtuman määrä %s. Maksutapahtuman tunniste: ""%s"""
"IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s.","IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s."
"IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s","IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement."
"If not specified, Default Country from General Config will be used","Jos ei määritetä, käytetään oletusmaata yleisasetuksista"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only."
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Impossible to issue a refund transaction because the capture transaction does not exist."
"Incentive","Incentive"
"Initiation Date","Initiation Date"
"Integral Evolution","Integral Evolution"
"Invoice ID","Laskunumero"
"Issuer Liability","Issuer Liability"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","It is recommended to set this value to ""Debit or Credit Card"" per store views."
"It is recommended to set this value to ""PayPal"" per store views.","Suositeltava arvo kauppanäkymälle on ""PayPal""."
"Items in Your Shopping Cart","Ostoskorin tuotteet"
"Last Correlation ID","Last Correlation ID"
"Last Transaction ID","Viimeisimmän maksutapahtuman tunniste"
"Learn More","Lue lisää..."
"Login","Kirjaudu sisään"
"Mass Pay Payment","Mass Pay Payment"
"Matched (CVV2)","Matched (CVV2)"
"Matched (CVV2CSC)","Matched (CVV2CSC)"
"Matched Address only (no ZIP)","Vain osoite täsmää (ei postinumero)"
"Matched Address only (no ZIP). International","Vain osoite täsmää (ei postinumero). Kansainvälinen"
"Matched Postal Code only (no Address)","Vain postinumero täsmää (ei osoite)"
"Matched five-digit ZIP only (no Address)","Vain viisi numeroinen postinumero täsmää (ei osoite)"
"Matched whole nine-didgit ZIP (no Address)","Yhdeksän numeroinen postinumero täsmää (ei osoite)"
"Merchant Account","Kauppiaan tili"
"Merchant Country","Kauppiaan maa"
"Merchant Liability","Kauppiaan vastuu"
"Merchant Location","Kauppiaan sijainti"
"Merchant Protection Eligibility","Kauppiaan suojauksen kelvollisuus"
"Merchant Referral Bonus","Merchant Referral Bonus"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Kauppiaalla on Yhdysvaltojen ulkopuolinen tili ja hänellä ei ole nostojärjestelyä."
"Merchant reference ID format is not supported.","Kauppiaan viitenumeromuoto ei ole tuettu."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Kauppiaan täytyy pyytää PayPal:ia kytkemään maksusopimustoiminto. Älä ota käyttää tätä valintaa ennen kuin PayPal vahvistaa että maksusopimukset ovat käytössä tililläsi."
"Mobile Payment (made via a mobile phone)","Mobiilimaksu (matkapuhelimella)"
"N/A","ei saatavilla"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Address not checked, or acquirer had no response. Service not available"
"N/A. Global Unavailable","Ei saatavilla. Globaalisti ei saatavilla."
"N/A. International Unavailable","Ei saatavilla. Kansainvälisesti ei saatavilla."
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Merchant has indicated that CVV2 is not present on card"
"N/A. No response","Ei saatavilla. Ei vastausta."
"N/A. Not allowed for MOTO (Internet/Phone) transactions","Ei saatavilla. MOTO (Internet/Puhelin) maksut eivät ole sallittuja"
"N/A. Not processed","Ei saatavilla. Ei käsitelty."
"N/A. Retry","Ei saatavilla. Yritä uudestaan."
"N/A. Service not Supported","Ei saatavilla. Palvelua ei tueta."
"N/A. Service not available","Ei saatavilla. Palvelu ei ole käytettävissä."
"N/A. Service not supported","Ei saatavilla. Palvelua ei tueta."
"N/A. The merchant did not provide AVS information","N/A. The merchant did not provide AVS information"
"N/A. The merchant has not implemented CVV2 code handling","N/A. The merchant has not implemented CVV2 code handling"
"N/A. Unavailable","Ei saatavilla. Ei ole käytettävissä."
"Negative Balance","Negatiivinen saldo"
"Never","Ei koskaan"
"No","Ei"
"No Details matched","Lisätiedot eivät täsmää."
"No Details matched. International","Lisätiedot eivät täsmää. Kansainvälinen"
"No Liability Shift","No Liability Shift"
"No Logo","Ei logoa"
"No match","Ei täsmää"
"None of the address information matched","Mikään osoitetiedoista ei täsmää."
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","Etkö ole varma mitä PayPal-maksutapaa käyttää? Paina <a href=""%s"" target=""_blank"">tästä</a> lukeaksesi lisää."
"Note: %s","Huomio: %s"
"Nothing to fetch because of an empty configuration.","Nothing to fetch because of an empty configuration."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Huomaa että PayPal voi käsitellä ainoastaan 10 valintaa. Tästä johtuen Magento siirtää ainoastaan 10 ensimmäistä edullisinta toimitusvalinta jos niitä on enemmän."
"Notified customer about creditmemo #%s.","Asiakkaalle on ilmoitettu hyvityksestä #%s."
"Notified customer about invoice #%s.","Asiakkaalle on ilmoitettu laskusta %#s."
"Now accepting PayPal (150 X 40)","Maksa heti PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Maksa heti PayPal (150 X 60)"
"Number of Child Authorizations","Number of Child Authorizations"
"Open Authorization","Avaa vahvistus"
"Order","Tilaus"
"Order ID","Tilausnumero"
"Order Valid Period (days)","Tilauksen voimassaoloaika (päivinä)"
"Ordered amount of %s.","Tilattu summa %s."
"Ordering amount of %s is pending approval on gateway.","Tilauksen summa %s odottaa hyväksyntää maksuyhteydessä."
"Page Background Color","Sivun taustaväri"
"Page Style","Sivun tyyli"
"Part of the address information matched","Osa osoitetiedoista täsmää."
"Partner","Kumppani"
"Pasarela integral","Pasarela integral"
"Password","Salasana"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>"
"PayPal Balance Manager function of PayPal account","PayPal Balance Manager function of PayPal account"
"PayPal Billing Agreement Settings","PayPal-maksusopimus asetukset"
"PayPal Buyer Warranty Bonus","PayPal Buyer Warranty Bonus"
"PayPal Debit Card Cash Advance","PayPal Debit Card Cash Advance"
"PayPal Debit Card Withdrawal from ATM","PayPal Debit Card Withdrawal from ATM"
"PayPal Express Checkout","PayPal Express -maksaminen"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Shortcut Wrapper"
"PayPal Express Checkout Token does not exist.","PayPal Express-maksutavan tunnistetta ei ole."
"PayPal Express Checkout is not enabled.","PayPal Express -maksutapaa ei ole kytketty."
"PayPal Express Order Review Form","PayPal Express-maksun tilauksen tarkastamislomake"
"PayPal Fee Information","PayPal Fee Information"
"PayPal Merchant Pages Style","PayPal kauppiassivujen tyyli"
"PayPal Payment Gateways","PayPal-maksutavan maksuyhteydet"
"PayPal Payment Solutions","PayPal-maksutavat"
"PayPal Pro","PayPal Pro"
"PayPal Product Logo","PayPal-tuotteen logo"
"PayPal Protection Bonus","PayPal Protection Bonus"
"PayPal Reference ID","PayPal viitenumero"
"PayPal Reference ID Type","PayPal viitenumeron tyyppi"
"PayPal Settlement Reports","PayPal suoritusraportit"
"PayPal certificate does not exist.","PayPal-sertifikaattia ei ole."
"PayPal certificate file is empty.","PayPal-sertifikaattitiedosto on tyhjä."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal ei välitä maksuja, joiden loppusumma on nolla. Jatka maksamista valitsemalla toinen maksutapa."
"PayPal gateway has rejected request. %s","PayPal-maksut hylkäsi pyynnön. Ota tarvittaessa yhteyttä asiakaspalveluun. %s"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal suosittelee että asetat lisäkäyttäjän tilillesi osoitteessa manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal suosittelee että asetat lisäkäyttäjän tilillesi osoitteessa manager.paypal.com sen sijaan että annat pääkäyttäjän tunnuksen ja salasanan tähän. Tällätavoin lisäät turvallisuutta ja estät palvelun häiriöttömän toiminnan jos myöhemmin vaihdat salasanaa. Jos et halua asettaa lisäkäyttäjää, kirjoita uudestaan kauppiastunnus."
"PayPal response hasn't required fields.","PayPal response hasn't required fields."
"PayPal retains reports for 45 days.","PayPal säilyttää raportteja 45 päivää."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce Indicator"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Payer Authentication Service Result"
"Payer Address ID","Maksajan osoitteen tunniste"
"Payer Address Status","Maksajan osoitteen tila"
"Payer Email","Maksajan sähköpostiosoite"
"Payer ID","Maksajan tunniste"
"Payer Status","Maksajan tila"
"Payer is not identified.","Maksajaa ei ole tunnistettu."
"Payflow Link","Payflow Link"
"Payflow Link (Includes Express Checkout)","Payflow Link (sisältää Express-maksamisen)"
"Payflow Pro","Payflow Pro"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (sisältää Express-maksamisen)"
"Payflow Pro and Express Checkout","Payflow Pro ja Express-maksaminen"
"Payment Action","Maksutoiminto"
"Payment Applicable From","Maksu sallitaan maista"
"Payment Refund initiated by merchant","Payment Refund initiated by merchant"
"Payment has been declined. Please try again.","Maksu estettiin. Yritä uudestaan."
"Payment transactions disallow storing objects.","Payment transactions disallow storing objects."
"Payments Advanced","Maksujen lisäasetukset"
"Payments Advanced (Includes Express Checkout)","Maksujen lisäasetukset (sisältää Express-maksamisen)"
"Payments Pro (Includes Express Checkout)","Payments Pro (sisältää Express-maksamisen)"
"Payments Pro Hosted Solution","Payments Pro Hosted Solution"
"Payments Pro and Express Checkout","Payments Pro ja Express-maksaminen"
"Payments Standard","Payments Standard"
"Payments by PayPal (150 X 40)","PayPal-maksu (150 X 40)"
"Payments by PayPal (150 X 60)","PayPal-maksu (150 X 60)"
"Pending PayPal","Odottaa PayPal"
"Place Order","Lähetä tilaus"
"Please agree to all the terms and conditions before placing the order.","Tilaaminen vaatii ehtojen hyväksymisen"
"Please do not refresh the page until you complete payment.","Älä lataa sivua uudestaan ennenkuin maksu on hyväksytty."
"Please re-enable the previously enabled payment solutions.","Kytke uudestaan aikaisemmin kytketyt maksutavat."
"Please select a shipping method...","Valitse toimitustapa..."
"Please select region, state or province","Valitse maakunta"
"Please update order data to get shipping methods and rates","Päivitä tilauksen tiedot saadaksesi toimitustavat ja hinnat"
"Points Incentive Redemption","Points Incentive Redemption"
"Postage Payment to either USPS or UPS","Postage Payment to either USPS or UPS"
"Preapproved Payment (BillUser API), either sent or received","Preapproved Payment (BillUser API), either sent or received"
"Preapproved Payment ID","Preapproved Payment ID"
"Price","Hinta"
"Pro","Pro"
"Process payments using your own internet merchant account.","Käsittele maksut käyttämällä omaa internetin kauppiastiliä."
"Product Name","Tuotteen nimi"
"Proxy Host","Välityspalvelimen isäntä"
"Proxy Port","Vlityspalvelimen portti"
"Qty","Kpl"
"Reauthorization","Uudelleenvarmentaminen"
"Reference Information","Viitetiedot"
"Refund issued by merchant.","Kauppias on tehnyt palautuksen."
"Reimbursement for a chargeback.","Reimbursement for a chargeback."
"Reimbursement of Chargeback","Reimbursement of Chargeback"
"Report Date","Raportin päiväys"
"Reports","Raportit"
"Require CVV Entry","Require CVV Entry"
"Require Customer's Billing Address","Vaadi asiakkaalta maksuosoite"
"Required PayPal Settings","Pakolliset PayPal asetukset"
"Required Settings","Pakolliset asetukset"
"Reversal","Reversal"
"Reversal of General Account Hold","Reversal of General Account Hold"
"Reversal of Points Usage","Reversal of Points Usage"
"Reversal of an adjustment.","Reversal of an adjustment."
"Reversal of hold for Dispute Investigation","Reversal of hold for Dispute Investigation"
"Review Order","Tarkasta tilaus"
"Reward Voucher Redemption","Reward Voucher Redemption"
"SFTP Credentials","SFTP suoritustiedot"
"Sale","Myynti"
"Sales","Myynti"
"Same as shipping","Sama kuin toimitusosoite"
"Sandbox Credentials","Testiympäristö tunnistetiedot"
"Sandbox Mode","Testiympäristö"
"Schedule","Aikataulu"
"Schedule description is too long.","Aikataulun kuvaus on liian pitkä."
"Scheduled Fetching","Aikataulutettu nouto"
"Select a Payment Solution","Valitse maksutapa"
"Send Email Confirmation","Lähetä vahvistussähköposti"
"Server Error. Please try again.","Palvelinvirhe. Yritä uudestaan."
"Settlement Consolidation","Settlement Consolidation"
"Settlement Report Settings","Suoritusraporttiasetukset"
"Settlement of a chargeback.","Settlement of a chargeback."
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
